caption_idx,image_idx,caption
48,9,A guy is hanging on a big rock in the woods.
49,9,A man hangs from the edge of a rock.
50,10,"A band performs a song with a saxophone, guitars, base, drums and a keyboard."
51,10,A group of men are holding various instruments and playing music.
52,10,The two guys in the blue jackets are playing guitars.
53,10,A jazz cover band plays under hot strobe lights.
54,10,Band members are playing a song on stage.
55,11,A man is on stage in front of a crowd of people sitting in chairs.
56,11,A group of people listen to man standing at a podium.
57,11,Speaker talking in front of large group of people.
58,11,People attending a conference with a lecturer.
59,11,Several people paying attention to a lecture.
60,12,"A man and a woman are smiling, sitting against a painted wall, with the woman holding the neck of an acoustic guitar."
61,12,A man and a woman are laughing together while the woman holds and acoustic guitar.
62,12,A man and a woman in jeans are sitting on either side of a guitar.
63,12,"Posing with their much loved guitar, a couple smiles joyously."
64,12,"Two People, smiling holding a musical instrument."
65,13,A man in a green shirt plays a game with clowns while a man in red shirt watches.
66,13,A man in a green jacket plays a clown-themed carnival game while others watch.
67,13,A man in a green jacket is playing a game to win a prize.
68,13,A man in a green jacket is playing a fairground game.
69,13,A guy playing a game at a fair.
70,14,A Boston Red Sox baseball player holds the bat waiting for the incoming pitch.
71,14,A player on the Boston Red Sox prepares for a pitch during a game.
72,14,Baseball batter ready to hit the ball
73,14,A Boston baseball player at bat
74,14,A man is playing baseball.
75,15,"A woman with a red shirt and a star tattoo on her arm holds an apple behind a display of ""Fresh Juicy Australian Navel Oranges."""
76,15,"A woman holding an apple standing next to a display of oranges, apples and melons."
77,15,Yellow oranges and green apples for sale at a market.
78,15,Girl in red shirt standing over rows of oranges.
79,15,Woman peruses a fruit stand full of oranges.
80,16,A colorfully dressed young man with visible skin lesions is sitting and smoking a cigarette.
81,16,A young man with darker skin and a shaved head is sitting down smoking a cigarette.
82,16,A kid with his head shaved sitting and holding a lit cigarette.
83,16,A young man in a blue poncho smoking a cigarette.
84,16,A boy is sitting down while smoking.
85,17,A child in a red longsleeve shirt is pointing at the red tulips.
86,17,A child in a red jacket is pointing at beautiful orange flowers.
87,17,The child in the red jacket is looking at the flowers.
88,17,A boy in a red jacket points at red tulips.
89,17,A boy in red is pointing to a red tulip.
90,18,"A boy wearing a white shirt that says ""Make Some Noise"" is eating food off of a fork and making a funny face with his head tilted to the side."
91,18,"A guy in a Nike shirt that reads ""MAKE SOME NOISE"" tilts his head sideways as he eats."
92,18,A man is making a funny face while eating cake.
93,18,A young man in a Nike t-shirt is eating cake.
94,18,An asian boy eating a piece of cake.
95,19,A man with a mallet is carving a creature out of stone.
96,19,A sculptor chipping away at marble to create a statue.
97,19,A marble sculptor is sculpting some kind of monster.
98,19,A man looks intent while sculpting a gargoyle.
99,19,A man in a white shirt is sculpting
100,20,A girl in pink and yellow on a pink and orange surfboard cuts through the wave.
101,20,A woman in a yellow shirt surfs on a pink surfboard.
102,20,The girl catches a wave on her pink surfboard.
103,20,A woman on a surfboard rides a wave
104,20,A surfer rides the wave.
105,21,"Two women, one with a black and red helmet and the other with a white helmet with a star, that are skating."
106,21,A roller-skating woman in red and black socks and a black shirt is elbowing another skater out of her way.
107,21,Two women competing in a roller derby with several teammates and referee in the background.
108,21,Two women bumping into each other during a roller derby game.
109,21,Two women in a roller derby competition.
110,22,A young girl jumps into the deep end of a swimming pool while a young boy is nearby.
111,22,A girl with a boy standing behind her is stepping into a swimming pool
112,22,A boy and a girl playing in the pool on a sunny day.
113,22,Young girl jumping into a swimming pool.
114,22,A girl in a bikini jumps into a pool
115,23,A man wearing tan pants is sitting on a red couch inside a house.
116,23,A man in a suit jacket is sitting on a red couch with a cat.
117,23,A man in a suit and a cat resting on a red couch.
118,23,A man sits on a red sofa next to a cat.
119,23,The photo is too dark to make out.
120,24,A man with a beard and a light brown shirt is near a chart that has LMMVSD on it.
121,24,A man with a white beard is wearing an apron and in the kitchen.
122,24,A man with a beard wears an apron around his neck and smiles.
123,24,A man with a beard surprised when his picture is taken.
124,24,A man with a gray beard and an apron smiles.
125,25,An African American in a red top and white and brown skirt crosses a street while a man in a blue shirt runs on it.
126,25,A woman wearing a pink white and orange dress with braids in her hair walking down a busy street.
127,25,"A dark-skinned woman, wearing a pink top and brown and white skirt, is crossing the street."
128,25,"A woman walking in a street with a young boy in front of her, and a running man behind her."
129,25,Woman in red white and brown dress walking down a busy street.
130,26,A man with a red hat looking at something in a glass counter and starfish on top in a metal container.
131,26,An Asian man in a red hat stands in front of a water tank that has starfish drying out on top of it.
132,26,"A man is showcasing various types of seafood on a stick, including starfish."
133,26,Man wearing a red had as part of a uniform behind a glass case full of meat.
134,26,A man looks over a food selection at a counter.
135,27,Two women and a man in a studio looking at a large portrait of Cher.
136,27,Two women and a man are standing in front of a painting of Cher.
137,27,Pop art of Cher made to look like Che Guevera.
138,27,Adults look at an artistic image in a museum.
139,27,People looking at a painting of Cher.
140,28,"Two women on a city street speak to another woman with purple hair who is wearing a cowboy hat, and nipple pasties and carrying a guitar."
141,28,"A woman with purple hair and wearing only a cowboy hat, boots, and a guitar talks to two eclectically dressed women."
142,28,"Three women stop to talk in the middle of the street, one with purple hair and nipple covers"
143,28,"Some women talk outside, one with purple hair and red pasties."
144,28,Women are talking to an older woman in very little clothing.
145,29,Two children throw dead leaves into the air around them.
146,29,Children are playing with leaves in the autumn.
147,29,Children in coats playing in fall leaves.
148,29,Children tossing dead leaves on lawn.
149,29,A child walks outside as leaves fall.
150,30,A man in an alley photographed from above appears to be in the act of throwing a small object towards the photographer.
151,30,A man in an alleyway getting ready to throw an object up to someone above.
152,30,A man in a black shirt in the road throwing something
153,30,A boy in a black t-shirt gets ready to throw.
154,30,A boy is about to throw a rock in an alley.
155,31,A young Asian man in a blue shirt with a small beard and mustache takes notes with a pencil from a large book.
156,31,A young Asian man studying with a pencil and a dictionary while drinking a cola.
157,31,A young man writing down answers or perhaps taking notes in a classroom.
158,31,An Asian man reading book and taking notes.
159,31,A man is copying text from a book.
160,32,Two women wearing winter coats examine a wall with papers attached to it.
161,32,The lady in the red jacket is helping the other lady decide what to buy.
162,32,Two woman are looking on different types of papers and photos on a wall
163,32,Two woman wearing jackets are looking at a board.
164,32,Two ladies are looking at jewelry.
165,33,A boy in a swimsuit and goggles is running on wet sand near water with other people in the background in the water.
166,33,A boy is covered in wet sand playing at a beach while a group of people enjoy the ocean in the background.
167,33,A young boy wearing a bathing suit and goggles plays on the sand at the beach.
168,33,"A boy enjoying the sun, as the people in the back enjoy the ocean."
169,33,"A young boy, covered in mud, plays on the beach."
170,34,Some people are walking through a narrow crevice in some rocks.
171,34,People are squeezing through a space between rocks.
172,34,Two people who are making there way between rocks.
173,34,Tourists enter and inspect a geological crevice.
174,34,People shimmy along a narrow pathway.
175,35,"A young man with long, frizzy hair pulled back in a ponytail and wearing a blue button-up shirt plays the clarinet."
176,35,A man with a ponytail wearing a blue collared shirt is playing an instrument's mouthpiece.
177,35,A man with long hair tied back and wearing a blue shirt is playing a clarinet.
178,35,A young man playing the clarinet wearing a baby blue button-up shirt.
179,35,A musician is reading music while playing his clarinet.
180,36,A gymnast number 046 facing the center of the mat with hands above her head in the shape of a heart.
181,36,A female gymnast in a black unitard and viewed from behind prepares for a tumbling pass.
182,36,A gymnast in navy sparkly blue warms up for her routine.
183,36,A woman gymnast makes a heart with her arms.
184,36,Gymnast #046 making a heart with her arms.
185,37,"A man in a blue shirt with white stripes, sits on the side of the road with his thumb to his mouth by a wheelbarrow full of fruit and vegetables."
186,37,"A man sits in front of a blue wheelbarrow full of produce, his thumb pressed against his mouth."
187,37,An elderly man sits in a street with a wheelbarrow full of vegetables in front of him.
188,37,Man in blue shirt sitting on the side of the road with a wheelbarrow of vegetables
189,37,A man sits behind a wheelbarrow full of vegetables.
190,38,"Three middle-age women are on a stage, one singing and the other two cheerleading in blue uniforms."
191,38,Two female cheerleaders and another woman with a microphone ride atop a vehicle.
192,38,"A woman with red-hair wearing blue, holding up blue pompoms and celebrating."
193,38,There are three ladies dress in blue stand cheering.
194,38,Three cheerleaders are rooting for their team.
195,39,A girl wearing a white sweater over a gray shirt is holding her hand over her mouth as she laughs.
196,39,A woman in a white sweater covers her mouth at the dinner table in someone's home.
197,39,A female covering her face in laughter at the dinner table.
198,39,A girl covering her mouth because she is laughing so much.
199,39,A woman covering her mouth.
200,40,Spelunkers pose inside a rock cavern while bathed in sunlight from the surface.
201,40,Shaft of light in a cave shows three spelunkers
202,40,Three rock climbers are posing on big rocks.
203,40,People stand inside a rock dome.
204,40,Three people sit in a cave.
205,41,A rock climber grasps a ledge with his chalk covered hand.
206,41,There is an oriental man climbing up a mountain.
207,41,A young man climbing on a rock with no shirt on
208,41,A man is climbing up a large rocky mountain.
209,41,A closeup of a shirtless man rock climbing.
210,42,"A band that consists of at least 1 drummer, 3 guitarists, and a bassist performs on stage."
211,42,A band of four guitarists and a drummer perform on stage.
212,42,A band performs on stage under a blue light.
213,42,Four guitarists and a drummer on stage.
214,42,A group of men are performing on stage.
215,43,"A golfer, wearing a white shirt, hat, and khaki pants, is celebrating a job well done by holding his hands and club in the air."
216,43,"A male golfer celebrates a triumph by throwing his hands, and golf club, in the air."
217,43,A golfer raising his arms in joy as he does well on a hole.
218,43,A man playing golf with his hands in the air.
219,43,Golfer celebrates after a shot he has made.
220,44,Four different users working in a lab environment each performing duties on computers and laptops.
221,44,"Four people, three men and one woman, are working on their computers."
222,44,Multiple people work on laptops in an officer setting.
223,44,Three men and one woman are working on computers.
224,44,Three men and a woman using laptops together.
225,45,Two women and a man dressed in Victorian era clothing; the man is gesturing to the women in the red dress.
226,45,"Three people, all wearing peasant day outfits and a man bowing to the lady in the red dress."
227,45,A man in period garb and a wig bowing to a curtsying woman similarly clad in period dress.
228,45,A man and a woman wearing old Victorian era costumes greet each other.
229,45,Two women and a man in costume greet each other.
230,46,Three people are gathered around a pit which has skinned animals on sticks that they are cooking.
231,46,A woman in a gray sweater stands behind a row of roasted pigs on sticks.
232,46,Three women sit around a raised fire pit cooking skewered young pigs.
233,46,Two men and a woman up against a brick wall selling pig figurines.
234,46,Asian market with pigs roasting over a pit.
235,47,Two women dressed in blue are walking through a grassy hillside.
236,47,Two older women walk together through a grassy field.
237,47,Two women wearing blue jeans are walking outside.
238,47,Two women walking wearing all blue in a field.
239,47,Two women walking through the field
240,48,A man in a blue shirt is using his hands to play a large drum.
241,48,A black man in a blue shirt plays a drum with his hands.
242,48,A native american male singing and banging on a drum.
243,48,A man in a blue shirt playing the drums and singing.
244,48,"A man, in blue, drums on a bongo while outdoors."
245,49,A woman wearing a wedding gown and holding a flower is standing on the brick sidewalk.
246,49,The long-haired bride is holding a small bouquet as cars drive by.
247,49,The woman in the bridal dress is standing on the brick walkway.
248,49,A bride stands on the curb looking down the road.
249,49,A woman leaving a wedding.
250,50,"A woman in a white and light green jacket and another woman in a purple shirt, both wearing hats, sit at a table watching a cooking fire."
251,50,Two women are wearing hats and working with a blowtorch.
252,50,Two women are sitting at a table making a small fire.
253,50,Women sitting at a table with a small fire.
254,50,Two campers testing a camping stove.
255,51,A person dressed in brown and gray walks down a long street lined with yellow-walled buildings with tiled roofs.
256,51,A man walks down a cobblestone street next to buildings painted tan with red eaves.
257,51,A man walks down an alley between cream colored houses.
258,51,A man is walking down a narrow street.
259,51,Man in black walking up a sidewalk.
260,52,A group of friends playing cards and trying to bluff each other into making a terrible mistake.
261,52,A group of college students gathers to play texas hold em poker.
262,52,Several men play cards while around a green table.
263,52,A group of several men playing poker.
264,52,Six white males playing poker.
265,53,A man holds out a wire basket as he prepares to fill it.
266,53,An Asian man wearing gloves is working at a food stall.
267,53,A man wearing red gloves is holding a red basket.
268,53,A dark-haired man wearing a black apron.
269,53,A man in an apron holding a bowl.
270,54,"A woman with a black sweatband is wrapped in a blue, red and yellow blanket and is smoking."
271,54,"A woman, covered in a red and blue shawl, smoking a cigarette, eyes closed."
272,54,"A woman with a headband wearing a blue, yellow and red hooded jacket."
273,54,The woman wrapped a flag around her body and burned incense.
274,54,The woman with a colorful blanket is smoking a pipe.
275,55,"A man in a pink shirt, sitting on the edge of the telephone booth with his back to us."
276,55,"A man in a pink shirt and shorts, sits in a telephone booth making a telephone call."
277,55,Man crammed into a phone booth wearing a pink shirt.
278,55,A person wearing a red shirt using a pay phone.
279,55,Person in pink shirt using a public phone.
280,56,A gymnast in navy blue with a pink ribbon in her hair is performing on the balancing beam.
281,56,A female gymnast in a black leotard is landing a move on a balance beam.
282,56,A girl is doing a trick on a balance beam.
283,56,A gymnast is balancing on a balance beam.
284,56,A female gymnast on the balance beam.
285,57,"A man wearing a black cap is suspended in the air on a swing, as children are swinging on a swing set."
286,57,People swing on a swing set in a park outside several apartment buildings.
287,57,Four people swinging on a swing set.
288,57,Kids are playing on a playground.
289,57,People on swings in a city park.
290,58,"Two men, dressed in business suits, wearing long black coats, sharing a blue plaid umbrella, standing against a graffiti painted brick wall."
291,58,Two young men in long jackets stand under an umbrella in front of a brick wall with graffiti.
292,58,"Two men in suits standing under an umbrella, next to a wall covered in graffiti."
293,58,Two men in suits under an umbrella and in front of graffiti.
294,58,Two men in black holding an umbrella in the street.
295,59,The snowboarder is doing a stunt high in the air at night.
296,59,A skateboarder is jumping almost as high as a building.
297,59,A snowboarder jumping off a tall brick building.
298,59,Snowboarder jumps off rail over snowpile.
299,59,A snowboarder jumps over a pile of snow.
300,60,Two children sharing a space that permits them both to maximize their individual aspirations.
301,60,An Asian and an African American child enjoying themselves at a colorful playground.
302,60,A child in green and a child in orange playing on a jungle gym.
303,60,Two children playing in a colorful playground.
304,60,Two kids are playing in the park.
305,61,A young boy wearing a white hat is climbing rocks.
306,61,A boy climbs rocks in the woods.
307,61,A boy climbing a rocky area.
308,61,A boy climbs up some rocks.
309,61,The boy is wearing a hat.
310,62,A man wearing a yellow shirt and black apron is standing in front of an information booth with some newspapers.
311,62,An elderly African-American man in a yellow shirt is standing in front of an information stand.
312,62,A man selling or delivering newspapers stands in front of a Spanish-language information sign.
313,62,A man with a newspaper cart is standing in front of an information sign.
314,62,A man in a yellow shirt and black apron delivering newspapers.
315,63,A man wearing a jacket is painting a picture while people walk past him.
316,63,A man is doing art on a sidewalk while many other people walk by.
317,63,A male African artist painting in an urban setting.
318,63,A man is painting a picture in a crowd of people.
319,63,A man on the street drawing pictures of people.
320,64,Five men dressed in tuxedos standing on a set of stairs
321,64,Five men in tuxedos are walking down steps.
322,64,Five men in tuxedos walk down a set of steps
323,64,Men in suits and ties walking downsteps
324,64,Five men in suits.
325,65,A man with long hair and a western hat sings and plays the guitar as he sits by the road with his tip jar nearby.
326,65,"A man with long blond-hair, sunglasses and a cowboy hat sits on a milk crate and plays a guitar."
327,65,"A man with a cowboy hat is playing a guitar and singing in a neighborhood, for tips."
328,65,Longhair cowboy plays guitar and drinks moonshine from a jug.
329,65,A man in a cowboy hat is singing and playing a guitar.
330,66,Two ladies are cooking &amp; talking and two gentlemen are talking in the opposite site of the kitchen.
331,66,Two men and two women are preparing food and talking in a kitchen.
332,66,Two men and two women are preparing a large meal in the kitchen.
333,66,Four middle-aged people are preparing a meal in a kitchen.
334,66,An elderly woman places carrots into a casserole.
335,67,A person in a black shirt standing at a table where two people are sitting.
336,67,Two young women pull out their pocketbooks to pay their waitress.
337,67,Women sitting at table one is reaching in wallet.
338,67,Two friends are eating at a cafe.
339,67,Two women eat out at a restaurant
340,68,"A man dressed in a black t-shirt with a white alien on the front, handing out newspaper propaganda."
341,68,A man with a scruffy beard passes out fliers near a few bikes chained to a gate.
342,68,A man in a black jacket is passing out newspapers.
343,68,A man with a beard is selling newspapers.
344,68,A hipster is posing with his banners.
345,69,A man in a construction uniform is guiding a brick wall into place as it is being lowered to the ground.
346,69,"A workman in an orange jumpsuit, vest and hard hat steadying a large piece of concrete."
347,69,A construction worker guide a concrete support that is being lifted by a crane.
348,69,A construction worker helps align the cement plate on the road.
349,69,Construction worker working.
350,70,Back of a red-haired woman riding on the subway.
351,70,People are sitting on a train or subway.
352,70,The back of a woman's head on a train.
353,70,A red-haired woman sits on a subway.
354,70,A red-haired woman rides a train.
355,71,Small girl wearing a white sweater standing between branches of a tree with green leaves.
356,71,A girl in a white and pink sweater is looking up through tree branches.
357,71,A little girl with black hair pokes her head through tree branches.
358,71,A young asian girl stands between two tree trunks.
359,71,An Asian little girl hugs two tree branches.
360,72,"A man wearing an elaborate, colorful costume, complete with headgear, holds his mouth open, as if singing or shouting."
361,72,A black man wearing golden tribal style clothing with orange feathers singing
362,72,A man in ornate tribal attire sings against a feathery orange background.
363,72,"In this photo, a guy is dressed up talking."
364,72,The man performs a traditional ritual.
365,73,A man in a green hard hat and yellow vest is looking down.
366,73,A man in a green hard hat and yellow safety vest frowns.
367,73,A worker in a yellow safety vest and goggles frowns.
368,73,A construction worker is frowning with a yellow vest
369,73,A man standing in a yellow jacket.
370,74,"A senior citizen wearing a hat, blue button up shirt, Khaki shorts and sandals walking in a park holding two ice cream cones."
371,74,Man in a blue button down shirt walking with two ice cream cones in his hands.
372,74,An old man is holding two ice cream cones as he walks through the park.
373,74,"A man walking along a fence, holding two ice cream cones."
374,74,An older man walks in a park with two ice cream cones.
375,75,A little boy holding a chocolate bunny looks at the object held up in front of him.
376,75,"Young boy looking at a purple letter ""P"" the hand in front of him is holding."
377,75,A child holding a gold rabbit stares at a P-shaped cookie.
378,75,"A little boy is looking at a purple letter ""P""."
379,75,A young boy looks at a hand holding the letter P.
380,76,A child rolls a ball at a bowling pin while a woman helps another child arrange some sort of symbols on the concrete ground next to the first child.
381,76,"A young boy is bowling for one pin with a ball outside, while 3 other people are in the background."
382,76,Three kids and a mother having fun outdoors with the kids as the play different activities
383,76,A young boy is rolling a yellow ball down the pavement towards a bowling pin.
384,76,A small child throws a bowing ball at a single pin.
385,77,A lone person standing on some rocks with large snowy mountains in the background.
386,77,The person is standing by the water in front of the snow topped mountains.
387,77,A man is standing on the rocky ground in front of the mountain.
388,77,The traveller pauses in front of the mountain view.
389,77,A man standing in front of an icy mountain.
390,78,"A man trying to vacuum the floor, while his little girl is playing."
391,78,A man vacuuming near a toddler in a soft green painted room.
392,78,A man is vacuuming his floor and his daughter is helping.
393,78,A man is cleaning while his young daughter watches.
394,78,A man vacuums as a small child watches nearby.
395,79,The back of two skinny models wearing white t-shirts and short shorts with high heels on passing by the camera equipment
396,79,Two women dressed in all white and wearing high heels are walking on the street.
397,79,The girls look sexy walking in their white shorts and high heels.
398,79,Two women wearing white prepare to do some type of videography.
399,79,Two women in short-shorts and high heels are walking.
400,80,A person is walling through a lit tunnel with a green railing running down the middle.
401,80,A woman with long brown hair walking down an eerie tunnel.
402,80,Person walking down lighted tunnel with green handrail.
403,80,A long tunnel with lighting and graffiti on the walls.
404,80,A person walks through a tunnel
405,81,Two foreground individuals in hard hats wear portable tanks as they walk behind someone in similar attire.
406,81,One firefighter is smiling at another firefighter.
407,81,Two firefighters look at a building.
408,81,Firefighters in full gear standing.
409,81,Two fireman having a laugh
410,82,A boy is riding on a donkey carrying various items strapped to it.
411,82,People are traveling via donkey with their belongings on back.
412,82,A pack of donkeys or burros carrying people and parcels.
413,82,Mules loaded with luggage with a man on one of them.
414,82,Several men traveling down a hill riding donkeys.
415,83,An older girl and a younger girl playing barefoot in a puddle
416,83,Two girls are standing in shallow water without shoes.
417,83,Two girls in denim shorts stand in a puddle of water.
418,83,Two girls stand in a puddle on a sidewalk.
419,83,Two girls walking on a wet sidewalk
420,84,"A woman carried a cake ito the room with three candles as another woman holding a flute glass of wine, holds up her hand."
421,84,A young man is presenting another woman with a cake with three candles on top.
422,84,A woman bringing a birthday cake to another woman with a glass of wine.
423,84,Two young women celebrating a birthday with cake and wine.
424,84,Women celebrating a birthday with cake.
425,85,A man carrying an orange bag walks past two British style telephone boxes.
426,85,An older man with a shopping bag walks by two red telephone booths.
427,85,"A man walks by a red telephone booth that says, ""ring ring""."
428,85,A man carrying a bag passes by two telephone booths.
429,85,A man walks by red telephone booths.
430,86,A man in a suit with his arm in a blue sling is walking down the sidewalk in front of a pink building while two women are standing there together.
431,86,"A middle-aged man with a broken left arm wearing a suit, who is walking by a couple of women on a sidewalk."
432,86,A man with a his arm in a sling and a business suit walks past two woman talking.
433,86,A man in a suit walking down the sidewalk with his arm in a sling.
434,86,A man with an arm sling walks past two women on a sidewalk.
435,87,Two men playing guitar on stage with two female background singers.
436,87,A band of two men playing guitars and two women are on stage.
437,87,People are playing instruments and singing on a stage.
438,87,Band members are performing music at a concert.
439,87,Musicians are performing a rock concert.
440,88,A woman in a pink shirt walking with a man walking in the other direction in the background.
441,88,A girl wearing a pink tank top and gray pants standing.
442,88,This woman is taking a break after a long walk or jog.
443,88,A woman in a pink shirt stares down a path.
444,88,A woman in a pink tank top outside.
445,89,A small group of black adults and children are walking on a brown surface.
446,89,A group of people are walking down a road passing by some barb-wire.
447,89,A poor family is leaving their home with only a few belongings.
448,89,A group of people carrying bags walk near a barb wire fence.
449,89,A group of dark-skinned people are walking past barbed wire.
450,90,One dog on the ground and another dog standing above it.
451,90,Two dogs play with one another on the grass.
452,90,"Two dogs in a field, facing each other."
453,90,Two beige dogs play in the grass.
454,90,Two tan dogs play in the grass
455,91,A man in a tool belt is directing a construction site where a large object is lifted.
456,91,The crew is using a crane to place a piece of equipment on the roof of a building.
457,91,A worker instructs a crane where to place a big boxed shaped item.
458,91,A man with a white hard hat is showing hand signs on the roof.
459,91,A construction man is on a roof giving a thumbs down.
460,92,A group of people pose for the camera in front of some laundry and greenery.
461,92,There is a family sitting outside in the shade.
462,92,Several people lean together for a photograph.
463,92,A group of people pose for a picture.
464,92,"A group of men, women and children."
465,93,A man in yellow shirt and black shorts walks down the steps of a crowded athletic stadium.
466,93,"A man in a red cap, yellow shirt, and black shorts looks down on a stadium."
467,93,A man in a yellow shirt and red hat stands up in a crowded stadium.
468,93,Man in yellow shirt and red cap holding beers at a sport event.
469,93,A man in a yellow shirt standing up.
470,94,"A young woman in a black coat, hat, and leather boots, carrying a white handbag, is standing in the snow beside a small river, in front of a boat named Savoie, with her arm outstretched as though throwing a stone into the water."
471,94,A girl with a black winter jacket and brown boots is throwing snow over a fence around a canal or waterway.
472,94,A woman in all black is posing next to the railing at a river during winter.
473,94,A girl in heavy clothing throwing something into an icy river.
474,94,A woman hails to a ferry in the snow.
475,95,"A black man wearing a black shirt with yellow leaves on it, is sitting and drinking a cup of coffee."
476,95,A black man sitting on the ground with a beverage in front of him.
477,95,A black man in a Hawaiian shirt sits in the dirt.
478,95,A black man sits on a bare patch of ground.
479,95,A man is resting on the ground with a cup.
480,96,A masked doctor wearing glasses is performing a surgery.
481,96,Two surgeons in blue scrubs operate on a patient.
482,96,A doctor in blue scrubs performing an surgery.
483,96,A surgeon is performing an open surgery.
484,96,A surgeon performing surgery.
485,97,A crowd behind a fence is watching bicyclists ride up a hilly road with motorcycles behind them.
486,97,Two cyclists competing in a road race being urged on by the crowd lining the racecourse.
487,97,Fans clapping and taking pictures for cyclists during a race.
488,97,A cyclists rides up a hill amid cheering bystanders.
489,97,Bikers are racing fiercely as a crowd cheers on.
490,98,"People marching down a street playing band instruments, a man in foreground is dressed like a baker."
491,98,A group of black and red trumpeters play and walk as members of a parade.
492,98,A man in a red shirt is playing a trumpet in the street.
493,98,A marching band playing for the crowd in a parade.
494,98,A marching band is going down the street.
495,99,"A man dressed in short khaki pants, a white shirt, a red tie, and a blue jacket playing a drum set for an audience of mostly children."
496,99,A man in a blue jacket plays the drums in the middle of a street in front of children.
497,99,A street performer playing a percussion instrument in front of a crowd of people.
498,99,A street performer playing a drum set in front of a crowd of people.
499,99,A man is standing while playing the drums for an audience.
500,100,Two children are playing in a green boat on the grass.
501,100,Two boys are sitting in a green kayak on the grass.
502,100,Two young boys are in a green kayak in the grass.
503,100,Two children sit in a green vessel in a yard.
504,100,Two children in green plastic boat on lawn.
505,101,There is a little boy in a swimming pool area everything around the boy and the pool are wet however the boy is not swimming but instead he is jumping into the water with blue swimming trunks on and his arms out.
506,101,"A young boy with blue shorts, at an indoor pool jumping into the water."
507,101,A young boy in a blue bathing suit is jumping into an indoor pool.
508,101,A young boy jumps feet first into an indoor pool.
509,101,A young boy is diving into a swimming pool.
510,102,Spectators sit by the sidewalk as a man riding a white horse comes by.
511,102,A man rides a horse down the street as a crowd watches.
512,102,Caviler does rope tricks on horseback for parade.
513,102,A man is riding a horse in an event.
514,102,A man rides a horse in a parade.
515,103,There are three people sitting on a bench outside a building and one man standing next to it looking at a newspaper.
516,103,A man in a white shirt is reading a paper while others sit on a bench.
517,103,The man reading a newspaper is standing up by a public sitting area.
518,103,A man reads a newspaper in front of a bench.
519,103,Four young people are waiting at a bench.
520,104,A construction worker is standing next to a yellow metal structure.
521,104,Worker in orange jumpsuit and headlamp standing by equipment.
522,104,A man in an orange jumpsuit posing on a piece of rigging.
523,104,Worker wearing orange jacket and hard hat with light.
524,104,Worker in orange jumpsuit adjusts industrial scale.
525,105,A brown doberman is outside with a stick in its mouth.
526,105,A dog with sharp teeth is chewing on a stick outside.
527,105,A brown dog shows his teeth.
528,105,A dog is biting a twig.
529,105,A dog bites a stick.
530,106,A black and brown dog is wearing a blue color and is standing over water.
531,106,A black dog is standing on an iron girder that bridges the river.
